"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.197174527786393,-0.162959026539126
3.0175,-0.201228360988113,-0.148013942261694
3.035,-0.207683645376577,-0.137940670744135
3.0525,-0.218835825138528,-0.122487072827154
3.07,-0.223128878361973,-0.102525742658774
3.0875,-0.224157188920216,-0.0866408612953111
3.105,-0.226638900358493,-0.0714145770116729
3.1225,-0.227073073429642,-0.0535295066649398
3.14,-0.223862909466517,-0.0400050758218418
3.1575,-0.227335802249542,-0.02570470452733
3.175,-0.223286299361947,-0.0034237542203757
3.1925,-0.212895767823567,0.009072949612697
3.21,-0.209959418740543,0.0189086334468935
3.2275,-0.207818027478898,0.034936146552907
3.245,-0.198330288006488,0.0528739349025647
3.2625,-0.186052534046122,0.0642296934674738
3.28,-0.176409903373695,0.0739330023044707
3.2975,-0.167779302527446,0.0846655348200073
3.315,-0.154614819193238,0.0973075538587836
3.3325,-0.140499776918174,0.102734112479347
3.35,-0.13014353048653,0.111318020735248
3.3675,-0.113890608558088,0.118326850472012
3.385,-0.0996524220665257,0.121552222516613
3.4025,-0.0860600245526052,0.123870577686757
3.42,-0.0733147492071445,0.127720395239687
3.4375,-0.0565707284180872,0.129487302955451
3.455,-0.0415132798440284,0.129001289330013
3.4725,-0.024826303791579,0.125856909159226
3.49,-0.0130117804377215,0.121719870057546
3.5075,0.0032800924185487,0.118821296266848
3.525,0.0162646742020739,0.108934358750772
3.5425,0.0254769623981429,0.103218435867134
3.56,0.0387073113632276,0.0982640034796442
3.5775,0.0538800392489105,0.0871081386272556
3.595,0.0606595089339724,0.0732354229395434
3.6125,0.069177339805613,0.0662598235305833
3.63,0.0809834298962797,0.051762130980455
3.6475,0.0842526839783567,0.0356628411511825
3.665,0.0861709693045196,0.0262181627672499
3.6825,0.0964499008118762,0.0158059516402759
3.7,0.101536001145931,-0.00613779565304572
3.7175,0.0970783683780535,-0.0213965151213002
3.735,0.0960347327437256,-0.0332589551221986
3.7525,0.0964329720429017,-0.0452466536574919
3.77,0.0960623398526299,-0.0621890882109587
3.7875,0.0900031465191248,-0.0759195040035199
3.805,0.0875191769560687,-0.0902831507662459
3.8225,0.0778378201710634,-0.106276535299511
3.84,0.0686820798633762,-0.114993058588784
3.8575,0.0640834924981956,-0.126045693673082
3.875,0.0549632227653063,-0.14294103676263
3.8925,0.0362611769520333,-0.1527385459633
3.91,0.0256879760222703,-0.155244968825477
3.9275,0.0167274633607426,-0.164348253038269
3.945,0.0039431056423108,-0.173010166895373
3.9625,-0.0110815561360443,-0.180274209115447
3.98,-0.026292474348502,-0.18464978683505
3.9975,-0.0423876837645682,-0.187758944882147
4.015,-0.0562967820731807,-0.188439770439408
4.0325,-0.072437990316359,-0.190956598362456
4.05,-0.0878277485445466,-0.187473689112087
4.0675,-0.100940307041123,-0.187254134677049
4.085,-0.116481748950618,-0.183881859680608
4.1025,-0.130441212105241,-0.181327464545202
4.12,-0.146552894831759,-0.174870006089821
4.1375,-0.158559732498726,-0.167908724790431
4.155,-0.171030143770065,-0.160669442294412
4.1725,-0.182525727758562,-0.154700067750485
4.19,-0.196980536832005,-0.14635900352446
4.2075,-0.209785244033315,-0.135968400044789
4.225,-0.221802679093167,-0.120757119921547
4.2425,-0.22513596877138,-0.107594522505286
4.26,-0.23230206528687,-0.10074026188955
4.2775,-0.244387424645481,-0.090748609716592
4.295,-0.254657659929024,-0.0719669477727934
4.3125,-0.253864897216881,-0.0566517232340176
4.33,-0.259111724898705,-0.0470911168763655
4.3475,-0.262809331835056,-0.031995154079722
4.365,-0.265936291513581,-0.0191201494080522
4.3825,-0.26832228410843,-0.00373429688699181
4.4,-0.269529612710727,0.0123069353726782
4.4175,-0.265040527078044,0.0287773096576563
4.435,-0.261906710394116,0.0385312998823901
4.4525,-0.261556368699435,0.0515038727259779
4.47,-0.260145070665239,0.0660312187736535
4.4875,-0.253036174510216,0.0822527412958658
4.505,-0.246440477761507,0.0904830896651633
4.5225,-0.243640458484515,0.104039683213054
4.54,-0.235002570857458,0.116332476187831
4.5575,-0.227758230251841,0.126430648512871
4.575,-0.221553100621566,0.13689424695168
4.5925,-0.211726892676067,0.150900054726228
4.61,-0.198070915565411,0.157169970497137
4.6275,-0.190980182900317,0.163533481867902
4.645,-0.181266276994872,0.171825258683599
4.6625,-0.171109519521147,0.179957105571165
4.68,-0.158610534197064,0.185187685589152
4.6975,-0.150266807935744,0.190737792261509
4.715,-0.137104409425839,0.198819355165153
4.7325,-0.122142078426118,0.202008932562432
4.75,-0.108760647881468,0.201054131353609
4.7675,-0.102234693616455,0.201843244071773
4.785,-0.091148238914277,0.207299469194492
4.8025,-0.0781109856711192,0.208454647847443
4.82,-0.0653528611122895,0.208206176430483
4.8375,-0.0547773975015009,0.20623532091425
4.855,-0.0436608235590797,0.205496205963508
4.8725,-0.0341439592031133,0.202984993729945
4.89,-0.0229389383171593,0.204041552464687
4.9075,-0.00832921463074051,0.19961152583914
4.925,0.0017362432300934,0.192536143400167
4.9425,0.00880695055863012,0.186580555387452
4.96,0.0163557841296632,0.184788042277209
4.9775,0.0286197596050577,0.180957824955144
4.995,0.0394281260598626,0.172799081102487
5.0125,0.0464476400076308,0.163725549429735
5.03,0.0525969674652055,0.158013189721859
5.0475,0.0610349145163529,0.150698550326656
5.065,0.0675479324635996,0.143226279928011
5.0825,0.0760369018387459,0.134782252618224
5.1,0.0818217064896856,0.123591153483745
5.1175,0.0853305055141929,0.113394340842713
5.135,0.0879966420691779,0.105222324990038
5.1525,0.0932654624543382,0.0970294128758158
5.17,0.0972320167713881,0.0860794609069518
5.1875,0.0996192146194432,0.0754050517708456
5.205,0.100811893220554,0.065028976487402
5.2225,0.102387992145425,0.0549123898216842
5.24,0.102364148336479,0.0437689039752276
5.2575,0.101727717425232,0.033862991081098
5.275,0.100653428122563,0.0236882320809234
5.2925,0.0996613871685072,0.0136403422452887
5.31,0.0968460758668538,0.00251040621186511
5.3275,0.0934023701105827,-0.00668763623137303
5.345,0.0897342960364454,-0.0169046073114889
5.3625,0.0845382693994344,-0.0256957446640674
5.38,0.0800484464640566,-0.0339837016183153
5.3975,0.075689614657197,-0.04287758233798
5.415,0.0693414767347697,-0.0530997407377799
5.4325,0.0608942059285566,-0.0611137810041256
5.45,0.0522640498529112,-0.0678098096164465
5.4675,0.0447262350704184,-0.0718601565401214
5.485,0.0399565262599024,-0.0789679319026569
5.5025,0.0301581794001373,-0.0877998201150727
5.52,0.0188032769562837,-0.0924386606382703
5.5375,0.0092483845906005,-0.0954249811523017
5.555,6.79594564561214E-05,-0.0991505621708556
5.5725,-0.00925967392249108,-0.101544860126936
5.59,-0.0176412981653677,-0.106645747192778
5.6075,-0.0321913105526019,-0.110410019527661
5.625,-0.044781707969742,-0.108292615325896
5.6425,-0.0546476442626086,-0.105504335516251
5.66,-0.0601848886628226,-0.105634207380048
5.6775,-0.0720767795947964,-0.111128541405808
