"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.193206658554393,-0.166136025217326
3.0175,-0.205159820185113,-0.152689152662694
3.035,-0.212182500847577,-0.134206084909135
3.0525,-0.216217290879528,-0.119094203933154
3.07,-0.221509312563973,-0.104296398234774
3.0875,-0.226073110100216,-0.0859759190453111
3.105,-0.223790920716493,-0.0690865450746729
3.1225,-0.225215866172642,-0.0575790370209398
3.14,-0.227951670309627,-0.0400881667928418
3.1575,-0.224891768368042,-0.02197248705833
3.175,-0.219464366334947,-0.0081974935033757
3.1925,-0.219083726393567,0.004797740033697
3.21,-0.214045732528643,0.0254450432598935
3.2275,-0.201730971485198,0.037407521404907
3.245,-0.198118658284488,0.0473501756985647
3.2625,-0.192021399719122,0.0652114191034738
3.28,-0.175824009249695,0.0817962173744707
3.2975,-0.158042714832446,0.0849838108010073
3.315,-0.153891937008238,0.0879516844997836
3.3325,-0.147030292373174,0.102181925969347
3.35,-0.12993802980353,0.114760493927348
3.3675,-0.111720758926088,0.116820580692012
3.385,-0.102277984124526,0.118504975603613
3.4025,-0.0909072218406052,0.126437004155557
3.42,-0.0723454528011445,0.133727131434361
3.4375,-0.0505726317710872,0.130719102489451
3.455,-0.0394688546060284,0.123792524178013
3.4725,-0.029008731689579,0.125373964564226
3.49,-0.0109398334667215,0.125179923463546
3.5075,0.0072211362835487,0.115104046460848
3.525,0.0122595350310739,0.103676554466772
3.5425,0.0198539587391429,0.106384499717134
3.56,0.0401983275852276,0.102378890889644
3.5775,0.0554702650476105,0.0872819174212556
3.595,0.0614748679469724,0.0737744104945434
3.6125,0.070677977476613,0.0658436407705833
3.63,0.0808201948952797,0.050577567754455
3.6475,0.0842523015286567,0.0368155150801825
3.665,0.0895034286835196,0.0251151092272499
3.6825,0.0953504604138762,0.0103550825312759
3.7,0.0952378926199312,-0.00676637481804572
3.7175,0.0937562741683535,-0.0155214066723002
3.735,0.100697875289726,-0.0286158714091986
3.7525,0.0995839467359017,-0.0477813710944919
3.77,0.0961438933726299,-0.0623197112249587
3.7875,0.0922113740281248,-0.0774558078395199
3.805,0.0864767339660687,-0.0932741935812459
3.8225,0.0756143680020634,-0.106128201724711
3.84,0.0695352254303762,-0.115075174141784
3.8575,0.0609453660781956,-0.129414759089282
3.875,0.0486214535703063,-0.13779418605963
3.8925,0.0409208855870333,-0.1447220362403
3.91,0.0339789103362703,-0.157989784312277
3.9275,0.0151736762307426,-0.171580731047269
3.945,-0.0011796423536892,-0.171161842754373
3.9625,-0.00854998105004431,-0.176940890194447
3.98,-0.022902720606502,-0.18739155401805
3.9975,-0.0449936290475682,-0.192679368462147
4.015,-0.0621793707343807,-0.186157488320408
4.0325,-0.070947256464359,-0.186169048753456
4.05,-0.0855424091075466,-0.187665535830086
4.0675,-0.100109260729123,-0.187507010977049
4.085,-0.116196219843678,-0.184716773620608
4.1025,-0.130687731172241,-0.181065097785202
4.12,-0.145465657420759,-0.174734492549821
4.1375,-0.157842474674726,-0.169520429880431
4.155,-0.172297283186065,-0.161976013935412
4.1725,-0.184022238679562,-0.154783483180485
4.19,-0.198678845414005,-0.14507649090146
4.2075,-0.209151594653315,-0.133193461566789
4.225,-0.218432628483167,-0.120375682440547
4.2425,-0.22393767864338,-0.111899484819886
4.26,-0.23823575968887,-0.10162678055955
4.2775,-0.243773494745481,-0.083362864559592
4.295,-0.246857033304024,-0.0739682528730934
4.3125,-0.256016650946881,-0.0641991951110176
4.33,-0.266298341978705,-0.0456748785113655
4.3475,-0.261786253845056,-0.024789268248722
4.365,-0.259006975944581,-0.0203848894860522
4.3825,-0.26989389154843,-0.00980572158699181
4.4,-0.274649099440727,0.0139387711806782
4.4175,-0.263276126694044,0.0333452197176563
4.435,-0.257655244021216,0.0363555228073901
4.4525,-0.263905039129435,0.0478602474049779
4.47,-0.262801674811239,0.0676031263136535
4.4875,-0.253025264045216,0.0840019228358658
4.505,-0.245260203677207,0.0916944478221633
4.5225,-0.242369614665815,0.103408481353054
4.54,-0.235015554651458,0.115701566527831
