"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.196460423470393,-0.162732352824526
3.0175,-0.201403371623113,-0.149501452549694
3.035,-0.209384804819577,-0.138004104925135
3.0525,-0.219359577157528,-0.120732853983154
3.07,-0.221778127617973,-0.102261242128774
3.0875,-0.224790005889216,-0.0869079972703111
3.105,-0.225776435862493,-0.0700972256576729
3.1225,-0.225765181285642,-0.0550445445349398
3.14,-0.225665759362517,-0.0406329389288418
3.1575,-0.227010932035542,-0.02380398883233
3.175,-0.221545086897847,-0.0046567462203757
3.1925,-0.214873920745567,0.007924895698697
3.21,-0.210384008151543,0.0213378279688935
3.2275,-0.205141488193898,0.034982742003907
3.245,-0.198548210880488,0.0501446107465647
3.2625,-0.188385505375122,0.0648185910234738
3.28,-0.175687996954695,0.0755713350984707
3.2975,-0.166520073154446,0.0841103514520073
3.315,-0.155388699615238,0.0959764943577836
3.3325,-0.141571586624174,0.104303249468347
3.35,-0.12838726958153,0.111430842160248
3.3675,-0.114629443570088,0.117675037948012
3.385,-0.0990279333665257,0.122657413258613
3.4025,-0.0845843987266052,0.122916792487757
3.42,-0.0739964003771445,0.126005103267361
3.4375,-0.0572723223370872,0.130295179043451
3.455,-0.0402856106920284,0.127144568804013
3.4725,-0.028791164849579,0.124766886422226
3.49,-0.0136937145117215,0.125088824560546
3.5075,0.0039757323345487,0.119695074371848
3.525,0.0172586782620739,0.110409389996772
3.5425,0.0275455337661429,0.103552722887134
3.56,0.0410223807072276,0.0961732174316442
3.5775,0.0518114288619105,0.0848655656392556
3.595,0.0612573874379724,0.0745757861175434
3.6125,0.069465325819613,0.0626965165435833
3.63,0.0768201213842797,0.051319944770455
3.6475,0.0825989285174567,0.0384366585121825
3.665,0.0874681423965196,0.0277836929672499
3.6825,0.0953892916818762,0.0151311035302759
3.7,0.100958533323931,-0.00219517527504572
3.7175,0.100972898151053,-0.0202473848183002
3.735,0.0983999804647256,-0.0344326319791986
3.7525,0.0975601953829017,-0.0476395558184919
3.77,0.0966119146726299,-0.0633236796279587
3.7875,0.0904367402821248,-0.0808865660795199
3.805,0.0806638950730687,-0.0925026365532459
3.8225,0.0744224938720634,-0.101989442311711
3.84,0.0684809197873762,-0.112079545091784
3.8575,0.0637183845681956,-0.123569032096082
3.875,0.0558689129753063,-0.13769636810913
3.8925,0.0438227414870333,-0.1500774895033
3.91,0.0310394327162703,-0.160192934719277
3.9275,0.0173911074007426,-0.169781218389269
3.945,0.0014209262873108,-0.177772057058373
3.9625,-0.0157908383920443,-0.182359036741447
3.98,-0.031732861843502,-0.18295997777505
3.9975,-0.0437949230975682,-0.183070299701147
4.015,-0.0560656432271807,-0.185575946468408
4.0325,-0.070284708784359,-0.187186766233456
4.05,-0.0841103184455466,-0.186841042964086
4.0675,-0.0971544647101226,-0.187565011557049
4.085,-0.113618455645618,-0.188103223240608
4.1025,-0.131061538339241,-0.184665943765202
4.12,-0.147670322549759,-0.179063201809821
4.1375,-0.164535821803726,-0.170564581120431
4.155,-0.177143726432065,-0.157084740936412
4.1725,-0.183040120408562,-0.147740508406485
4.19,-0.192826964477005,-0.14319057760146
4.2075,-0.206632937902315,-0.135394815530789
4.225,-0.217977601843167,-0.121892852632547
4.2425,-0.22393723523638,-0.111542158591886
4.26,-0.23450038811887,-0.10236258760155
4.2775,-0.243475707445481,-0.089994827350592
4.295,-0.253709405509024,-0.0767093040560934
4.3125,-0.260593471126881,-0.0593809338410176
4.33,-0.263631123058705,-0.0421618816163655
4.3475,-0.261860383775056,-0.027277315089722
4.365,-0.263035974161581,-0.0165523692670522
4.3825,-0.26466259241243,-0.00381190267799181
4.4,-0.267085683301727,0.0098232124776782
4.4175,-0.265951687002044,0.0252488843416563
4.435,-0.264566379558116,0.0386611382563901
4.4525,-0.261735639114435,0.0524389063189779
4.47,-0.259912290996239,0.0663737162636535
4.4875,-0.252865515391215,0.0812553033958658
4.505,-0.248220071898207,0.0904926183711633
4.5225,-0.244502774132515,0.105239406393054
4.54,-0.235317565433458,0.119214378837831
4.5575,-0.223566428790841,0.128070435362871
4.575,-0.218884841863566,0.13369612416168
4.5925,-0.212392785396067,0.147353902126228
4.61,-0.201485687147411,0.155671136962137
4.6275,-0.193586294201317,0.164702704441902
4.645,-0.183790197474872,0.175125096326599
4.6625,-0.167626991211147,0.185133314603165
4.68,-0.153378466197064,0.183125874270152
4.6975,-0.149555537322744,0.187073220326109
4.715,-0.139427640606839,0.196300103863153
4.7325,-0.123874584626118,0.203569437394432
4.75,-0.108122607591468,0.201135626345609
4.7675,-0.101773860166455,0.201915834493773
4.785,-0.091253433958277,0.204592470971492
4.8025,-0.0824555264031192,0.208724671534443
4.82,-0.0663002550422895,0.212196810868483
4.8375,-0.0526383942005009,0.20919415274125
4.855,-0.0401624536670797,0.205991530439508
4.8725,-0.0307064281421133,0.201327711163945
4.89,-0.0220297108831593,0.198684079695687
4.9075,-0.0130410074477405,0.19734357088314
4.925,-0.000496305044906598,0.194565722202167
4.9425,0.00868959380463012,0.188202543757452
4.96,0.0172959561054632,0.184932670800209
4.9775,0.0277676675330577,0.180407414289144
4.995,0.0384980274588626,0.173779244643487
5.0125,0.0463474415838308,0.165539577888735
5.03,0.0544662390732055,0.159480985425859
5.0475,0.0634480589924528,0.150427090530657
5.065,0.0695135484025996,0.140645111314011
5.0825,0.0744169868457459,0.131774520668224
5.1,0.0796624146076856,0.123316669180745
5.1175,0.0834525101141929,0.113747821245713
5.135,0.0868995989571779,0.107209869881038
5.1525,0.0942532395703382,0.0985985046688158
5.17,0.0984542893503881,0.0856961277559518
5.1875,0.0987156478924432,0.0745997267608456
5.205,0.0997204913925545,0.066745582633402
5.2225,0.103890405763425,0.0570412488115642
5.24,0.105353266892479,0.0437981810382276
5.2575,0.103671959845232,0.031360471289998
5.275,0.100146200160563,0.0207419878208234
5.2925,0.0974273494085072,0.0117931320352887
5.31,0.0938704425058538,0.00257811356286511
5.3275,0.0912161501695827,-0.00461879210137303
5.345,0.0894993323664454,-0.0140558444754889
5.3625,0.0859490237584344,-0.0235881717970674
5.38,0.0818189395260566,-0.0331820700483152
5.3975,0.077440394585097,-0.04216096231098
5.415,0.0724195248697697,-0.0535663554637799
5.4325,0.0628826425462866,-0.0640333530051256
5.45,0.0522213164159112,-0.0710817939554465
5.4675,0.0429121450538184,-0.0753012572821214
5.485,0.0349976637509024,-0.0806617899206569
5.5025,0.0254280785621373,-0.0844884830350727
5.52,0.0181113549202837,-0.0875611214242703
5.5375,0.0110043832876005,-0.0907918953733017
5.555,0.00588221611045612,-0.0966135617118556
5.5725,-0.00440068854049108,-0.104916762649936
5.59,-0.0170668381653677,-0.110189802847778
5.6075,-0.0322651247596019,-0.112811146942061
5.625,-0.045083378665742,-0.110489475709896
5.6425,-0.0556851287786087,-0.109015669673251
5.66,-0.0654482411878226,-0.108327452746048
5.6775,-0.0784993813057964,-0.107372459262808
5.695,-0.0882650514646867,-0.101185565763483
5.7125,-0.0949679772958132,-0.0995691029437818
5.73,-0.104126418298,-0.0988895536361912
5.7475,-0.116316232411565,-0.0987490682728344
5.765,-0.129525945284691,-0.0934197145082316
5.7825,-0.141223364473145,-0.0888119336403394
5.8,-0.154626746032322,-0.0793304201033716
5.8175,-0.161620792284006,-0.0689440742638683
5.835,-0.168489835781793,-0.0617514583196766
5.8525,-0.177366082206472,-0.0552310742582676
5.87,-0.187330770556807,-0.0439631811139935
5.8875,-0.191340071264814,-0.0329457650968878
5.905,-0.197097329883953,-0.0250961245157854
5.9225,-0.204041407190443,-0.0163289654303432
5.94,-0.212349816782236,-0.00478317906512643
5.9575,-0.21710479607402,0.00883281772532704
5.975,-0.221193012737146,0.0221534963454481
5.9925,-0.222567835491806,0.0358843660959522
6.01,-0.223770701973265,0.04858852063453
6.0275,-0.222877685665147,0.0609356189307622
6.045,-0.223419514606859,0.0715147924830283
6.0625,-0.224013886292567,0.0834101855201774
6.08,-0.225310149889794,0.0967904869877963
6.0975,-0.223452728296116,0.112589330264055
6.115,-0.219904013944495,0.127143718195457
6.1325,-0.213666946497825,0.141947462062443
6.15,-0.206674523907508,0.153466576956846
6.1675,-0.20061724387848,0.165443653890836
6.185,-0.193036963960381,0.178037899889377
6.2025,-0.182341669358651,0.189113641966513
6.22,-0.1730698685124,0.195673325064835
6.2375,-0.167274004310203,0.203831842471541
6.255,-0.160910122476575,0.214649913423706
6.2725,-0.152047027284957,0.227461567332342
6.29,-0.139513618855736,0.240391488553913
6.3075,-0.121980146661128,0.250859471295655
6.325,-0.104092797341799,0.254059100483327
6.3425,-0.0913114862758673,0.255446712967787
6.36,-0.0795015927763586,0.259448785764556
6.3775,-0.0649264849732109,0.262923001548889
6.395,-0.0515066079773478,0.263209033127489
6.4125,-0.0399887364219966,0.264359578059555
6.43,-0.0282717228118665,0.266827810879866
6.4475,-0.0140283194947178,0.269779870442856
6.465,0.000964886684358173,0.270952520445836
6.4825,0.0184800081826386,0.272254084640461
6.5,0.0383201980927054,0.268378838945988
6.5175,0.0560615643650139,0.259319012050494
6.535,0.0684467314031922,0.247448179514715
6.5525,0.0772307455268551,0.239527358246096
6.57,0.0877901708545904,0.232697224372472
6.5875,0.0985018109296483,0.225410722711847
6.605,0.109189252162225,0.217582624052186
6.6225,0.121004121087068,0.20950483906892
6.64,0.132442725360412,0.19783130152865
6.6575,0.141050455772874,0.186294145274874
6.675,0.149562040223175,0.174975137719489
6.6925,0.159165670546379,0.163683624203162
6.71,0.169010502393827,0.147237999656003
6.7275,0.172691880166092,0.129573180696239
6.745,0.174152349439845,0.1139925803277
6.7625,0.173951473637058,0.100717185437197
6.78,0.175286233497852,0.0887237835583089
6.7975,0.176933743474342,0.0761366299565611
6.815,0.178593282098619,0.0612476155798632
6.8325,0.175891138543557,0.0460816648995727
6.85,0.172628184882892,0.0341682481309874
6.8675,0.171242295427962,0.0236519132302466
6.885,0.172835539190863,0.00920558386776952
6.9025,0.167934068008284,-0.00931525543136018
6.92,0.160127261882951,-0.0235015993058151
6.9375,0.151689226204896,-0.0378159718218646
6.955,0.140652890418566,-0.0498007111974855
6.9725,0.1274858144204,-0.0584820705665988
6.99,0.117674051350978,-0.062339511866422
7.0075,0.111090176662724,-0.0692266356242591
7.025,0.10258667701086,-0.0770138951304676
7.0425,0.0933608607052222,-0.0843471889860991
7.06,0.0842566945750219,-0.0912894769221834
7.0775,0.0737302013172322,-0.0992565587332555
7.095,0.0618171064120477,-0.105657908358119
7.1125,0.0487583743941339,-0.112102875740934
7.13,0.0336630434162505,-0.116207830858607
7.1475,0.0174208631771374,-0.117757343302721
7.165,0.0027027354858928,-0.114000118099977
7.1825,-0.00714638404307885,-0.110220034062091
7.2,-0.0152706700023512,-0.107905487958834
7.2175,-0.0233622467103441,-0.108938680811105
7.235,-0.0352208995134095,-0.109364243842165
7.2525,-0.0468243553878132,-0.10774824513659
7.27,-0.0587736460856158,-0.10503312066651
7.2875,-0.070007926425152,-0.101547244676479
7.305,-0.0820093764921235,-0.097274919659451
7.3225,-0.0940759300712059,-0.0915055096686166
7.34,-0.106609625828785,-0.082447994182509
7.3575,-0.113869782148224,-0.0698541701782372
7.375,-0.116357520014135,-0.0616921022341326
7.3925,-0.121922958610409,-0.0578680915996223
7.41,-0.12968546215889,-0.0517963778777168
7.4275,-0.136023216833028,-0.0447772339178337
7.445,-0.143272167602904,-0.0386126614753081
7.4625,-0.151902503779268,-0.0292937669807478
7.48,-0.156751230900991,-0.017988515923114
7.4975,-0.160666592468468,-0.00864626209680649
7.515,-0.164652898702697,0.00162795486061879
7.5325,-0.167399412648218,0.0124755384298245
7.55,-0.16761037284984,0.0231658887516137
7.5675,-0.167893507196679,0.0307509188766073
7.585,-0.169732963926726,0.0393496385283763
7.6025,-0.170935889909736,0.0477037666680889
7.62,-0.173389764820827,0.057011811648796
7.6375,-0.175032486307596,0.0685265823249338
7.655,-0.173548283317672,0.0817778343096468
7.6725,-0.168594809875761,0.0925420696028262
7.69,-0.163425328923832,0.10063130089416
7.7075,-0.160090275547688,0.106174031152582
7.725,-0.158809467866449,0.114015442123303
7.7425,-0.155906711271015,0.12183522276044
7.76,-0.153727600994011,0.130700021602573
7.7775,-0.149564846932475,0.139372278251005
7.795,-0.145746789520367,0.148777448564515
7.8125,-0.139615554314872,0.157365143668179
7.83,-0.134379345761024,0.167768362174131
7.8475,-0.122172973557767,0.177662215144705
7.865,-0.110458225750722,0.179704802258318
7.8825,-0.103575135670619,0.179687481890682
7.9,-0.101033862888017,0.182445897689729
7.9175,-0.0961006666655164,0.188576109755263
7.935,-0.0911697817397891,0.19398343857096
7.9525,-0.0848382947634035,0.202111371298395
7.97,-0.0748678492056506,0.210150014309411
7.9875,-0.0611994382396356,0.214623366670742
8.005,-0.0504789568730984,0.214792274495593
8.0225,-0.0400133944829963,0.216754232521001
8.04,-0.0285137156228569,0.215617532936456
8.0575,-0.018910895749325,0.212868028862127
8.075,-0.0123194973730794,0.209393408766281
8.0925,-0.00695318041813494,0.208904272346187
8.11,-0.000712886830388889,0.208821724079258
8.1275,0.0055924015174547,0.210681029674494
8.145,0.0152374173019109,0.213585619493409
8.1625,0.0292495438638925,0.214422528878173
8.18,0.044054700119997,0.207871108273539
8.1975,0.0524668745941831,0.198655052114219
8.215,0.0585303370787723,0.191798157474569
8.2325,0.0645882571605329,0.186095517861672
8.25,0.0711017906035975,0.179328329964957
8.2675,0.075538526002122,0.172485898086193
8.285,0.080563959901197,0.166049391893677
8.3025,0.0834747999368252,0.15971084863133
8.32,0.0880220647432101,0.1561172590927
8.3375,0.0949517601001186,0.150915414493882
8.355,0.103062771631335,0.142976697996257
8.3725,0.10842894326592,0.131228730972812
8.39,0.111023275962987,0.120095057850229
8.4075,0.111579967207831,0.108274376892694
8.425,0.10950835613163,0.0984721411755597
8.4425,0.107252146140399,0.0909298073887089
8.46,0.10702403912631,0.084635057254438
8.4775,0.107220187339534,0.0755246104762222
8.495,0.104455007236076,0.0662297001520666
8.5125,0.100343705544389,0.0591293662610646
8.53,0.0984435932229218,0.0537698670037402
8.5475,0.097230241587163,0.0454067918202136
8.565,0.0936191277003961,0.0370467646385779
8.5825,0.0901204717484908,0.0283409163131863
8.6,0.0839132117991182,0.0182411157110525
8.6175,0.0738629686168371,0.0101817276740484
8.635,0.0633821456412602,0.00741813421994631
8.6525,0.0577407052298316,0.00590663330842771
8.67,0.0520316976954071,0.000464137123303029
8.6875,0.0426407932806478,-0.00423382426132415
8.705,0.0327907560680111,-0.00528027649277421
8.7225,0.0249450262059694,-0.00526293480360672
8.74,0.0178174065809035,-0.00551447152346444
8.7575,0.0114545423186533,-0.00661086591328701
8.775,0.00325220318345882,-0.00905594018524666
8.7925,-0.00702052705647011,-0.0101278508012832
8.81,-0.018821079910514,-0.00915749962359727
8.8275,-0.0299697054397873,-0.00436191445456142
8.845,-0.0387512314454032,0.00132454990683449
8.8625,-0.0461482400801449,0.00798145591719053
8.88,-0.0515518893199567,0.0134996803111194
8.8975,-0.057879011977229,0.018353927648442
8.915,-0.0645281922361093,0.023752494722068
8.9325,-0.0714503117196565,0.0308979070592138
8.95,-0.0760143607172445,0.0386411326516354
8.9675,-0.0807782206252438,0.0450089057578563
8.985,-0.0867341611309091,0.0523363928104962
9.0025,-0.0924091980540628,0.0620415572850538
9.02,-0.0958722245155603,0.0729453793502179
