"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.197739365077393,-0.164776722242326
3.0175,-0.204665384646113,-0.148109420496694
3.035,-0.208855558299577,-0.132838132757135
3.0525,-0.213462021883528,-0.120752501829154
3.07,-0.221390059665973,-0.106250192613774
3.0875,-0.225272196082216,-0.0878831230453111
3.105,-0.226526259494493,-0.0725460234206729
3.1225,-0.229667767392542,-0.0559107637989398
3.14,-0.228308777843417,-0.0365125061698418
3.1575,-0.223680422748542,-0.02074772561233
3.175,-0.219420154376947,-0.0064008416083757
3.1925,-0.215141094723567,0.006942670186697
3.21,-0.210397352298143,0.0213695825138935
3.2275,-0.204351169353898,0.033993143986907
3.245,-0.199697012759488,0.0487039303135647
3.2625,-0.190226534943122,0.0643603865674738
3.28,-0.178650847789695,0.0781073495544707
3.2975,-0.163177775669446,0.0885124755180073
3.315,-0.151293752532238,0.0927889727767836
3.3325,-0.143379359990174,0.101145857449347
3.35,-0.13063266565753,0.111731377274248
3.3675,-0.115048306444088,0.118555566989012
3.385,-0.100121890204526,0.122866639421613
3.4025,-0.0851551974786052,0.125963799710457
3.42,-0.0697597451401445,0.127246031093261
3.4375,-0.0561901815500872,0.125801222901451
3.455,-0.0441648338920284,0.127369240566013
3.4725,-0.026817864632579,0.127308031404226
3.49,-0.0126824863637215,0.121846743817546
3.5075,0.000164238902548705,0.119556021274848
3.525,0.0170146646820739,0.114435597585772
3.5425,0.0313246687121429,0.104394345783134
3.56,0.0426641625402276,0.0937049191506442
3.5775,0.0515614534019105,0.0821538464122556
3.595,0.0579511270579724,0.0726004993085434
3.6125,0.065680246709613,0.0647619016105833
3.63,0.0757176952222797,0.056418959710455
3.6475,0.0875601424664567,0.0428542465921825
3.665,0.0932634010245196,0.0255019400772499
3.6825,0.0973362913318762,0.0105494978552759
3.7,0.0992599579849312,-0.00713821869204572
3.7175,0.0965205033340535,-0.0215840772363002
3.735,0.0953813283067256,-0.0333833389011986
3.7525,0.0952328940939017,-0.0455757682174919
3.77,0.0950597747776299,-0.0600445179369587
3.7875,0.0919301951381248,-0.0753383178285199
3.805,0.0874316073560687,-0.0906879919332459
3.8225,0.0791238474910634,-0.106065004408711
3.84,0.0690767609583762,-0.117237826116784
3.8575,0.0611654483881956,-0.127727143048082
3.875,0.0510824666753063,-0.13885291586013
3.8925,0.0412298569470333,-0.14728789424794
3.91,0.0316424944262703,-0.159682372441277
3.9275,0.0141279428197426,-0.170042196584269
3.945,-0.0007100785166892,-0.172087234885373
3.9625,-0.0106524909400443,-0.177514565914447
3.98,-0.025422154461502,-0.18562956579805
3.9975,-0.0443990374855682,-0.188222267992147
4.015,-0.0582266066921807,-0.185228900704408
4.0325,-0.068549405657359,-0.187252149591456
4.05,-0.0837302363565466,-0.190152333607086
4.0675,-0.100225794097123,-0.190538109627049
4.085,-0.118813677295618,-0.188031502300608
4.1025,-0.135515324763241,-0.180284521645202
4.12,-0.147915415871759,-0.171200433273821
4.1375,-0.156475691102726,-0.163991177429431
4.155,-0.166225923919465,-0.161755006560412
4.1725,-0.182332865143562,-0.158854314140485
4.19,-0.200798351204005,-0.14824830656446
4.2075,-0.212653089303315,-0.131364178708789
4.225,-0.216350681013167,-0.118087363696247
4.2425,-0.22295599626738,-0.113207002586886
4.26,-0.23800440102887,-0.10254098790155
4.2775,-0.245189999825481,-0.084737789142963
4.295,-0.249088989479024,-0.0728588835415035
4.3125,-0.255677586056881,-0.0604364809418176
4.33,-0.260799688548705,-0.0462112464863655
4.3475,-0.263329902465056,-0.031177192174722
4.365,-0.265395707993581,-0.0185978701390522
4.3825,-0.26920276349843,-0.00318958821799181
4.4,-0.267157748261727,0.0143855132706782
4.4175,-0.262940768563044,0.0254458375806563
4.435,-0.264464274310116,0.0369614215783901
4.4525,-0.262658469793435,0.0526965186869779
4.47,-0.259503181036239,0.0661250479736535
4.4875,-0.254843308511216,0.0814619501758658
4.505,-0.247425692794907,0.0937702886521633
4.5225,-0.240820600380515,0.105577834083054
4.54,-0.232263893016458,0.115515847887831
4.5575,-0.226581181378841,0.123284522191871
4.575,-0.222574462566566,0.13408953423968
4.5925,-0.216169478602067,0.148039925676228
4.61,-0.203873328090411,0.162375690117137
4.6275,-0.187430693381317,0.169821951754902
4.645,-0.176201528269872,0.171923496607599
4.6625,-0.168126186951147,0.176828843666165
4.68,-0.159163347357064,0.182057119852152
4.6975,-0.151483292589744,0.188691586100509
4.715,-0.140120281521839,0.197806939112153
4.7325,-0.124750180776118,0.203480123962432
4.75,-0.110006356461468,0.204398743162609
4.7675,-0.0998208370564555,0.204512220024773
4.785,-0.088891606784277,0.207136472551492
4.8025,-0.0762749766911192,0.207317297336443
4.82,-0.0652304408522895,0.206273960593483
4.8375,-0.0551648579125009,0.20442610639225
4.855,-0.0472305439250797,0.204493253001508
4.8725,-0.0354938173151133,0.207188160972945
4.89,-0.0195846542141593,0.205424254085687
4.9075,-0.0066201900377405,0.19756695321014
4.925,0.000474232022093402,0.190809690360167
4.9425,0.00814264258963012,0.187431363467452
4.96,0.0166959038259832,0.183778817341209
4.9775,0.0264273935759577,0.180771055728144
4.995,0.0383620805528626,0.175393527076487
5.0125,0.0490408048271308,0.166205936275735
5.03,0.0557070678172555,0.155896550225859
5.0475,0.0603147716243529,0.148222031379657
5.065,0.0662364441825996,0.142041301020011
5.0825,0.0737260160477459,0.134998355666224
5.1,0.0808794264186856,0.125572948515745
5.1175,0.0861226925581929,0.115519324623713
5.135,0.0905292410811779,0.105628422799038
5.1525,0.0947627876073382,0.0955217591168158
5.17,0.0976627434343881,0.0835210659299518
5.1875,0.0966241947904432,0.0733103591458456
5.205,0.0979679037595545,0.067080148486902
5.2225,0.102442770328424,0.0577088558285642
5.24,0.104387591041479,0.0453201234231276
5.2575,0.103448229926232,0.033493232034098
5.275,0.102284231129563,0.0229286311489234
5.2925,0.100161604288507,0.0110336561702887
5.31,0.0950138315588538,0.000845566319865107
5.3275,0.0910061097495827,-0.00649521347437303
5.345,0.0887159276274454,-0.0147694274144889
5.3625,0.0855461790484344,-0.0242652029910674
5.38,0.0813608566320566,-0.0340805722593153
5.3975,0.075508650026197,-0.04373239991098
5.415,0.0691117490587697,-0.0523677319147799
5.4325,0.0615202094985566,-0.0612851899401256
5.45,0.0521313411259112,-0.0674329410704465
5.4675,0.0460834852297184,-0.0717903665901214
5.485,0.0404653399029024,-0.0802905164726569
5.5025,0.0299963570171373,-0.0889915845130727
5.52,0.0175794750142837,-0.0938345338742703
5.5375,0.0069302607106005,-0.0951306295793017
5.555,-0.000605706765543878,-0.0974273775818556
5.5725,-0.00983364090449108,-0.101064922933936
5.59,-0.0185968454293677,-0.103279024944778
5.6075,-0.0278809414626019,-0.107719219642661
5.625,-0.040768489600742,-0.110345465874896
5.6425,-0.0529288235436086,-0.109937132966251
5.66,-0.0640643437328226,-0.109440221988048
5.6775,-0.0752287596547964,-0.108623881225808
5.695,-0.0874202615756867,-0.107647804100482
5.7125,-0.100870340145813,-0.103452612031682
5.73,-0.110316282341,-0.0962744035630912
5.7475,-0.116712445531565,-0.0930762306635944
5.765,-0.127496464744691,-0.0921278192712316
5.7825,-0.140837916910145,-0.0869327957203394
5.8,-0.151851102050322,-0.0782356299263716
5.8175,-0.159695321539006,-0.0697493779558683
5.835,-0.167594617454793,-0.0629750932756766
5.8525,-0.176501959796472,-0.0553174249782676
5.87,-0.184885228821807,-0.0467217028149935
5.8875,-0.193847667899814,-0.0376319865888878
5.905,-0.202788109014653,-0.0252162072257854
5.9225,-0.207196115063943,-0.0111488500203432
5.94,-0.209619941874436,-0.000255123147126432
5.9575,-0.21324337436702,0.00985710473532704
5.975,-0.217580146412046,0.0202021546854481
5.9925,-0.222125152791806,0.0329305225079522
6.01,-0.223755608146265,0.04608499075953
6.0275,-0.225858713258147,0.0584470176457622
6.045,-0.226535453643859,0.0728504448200283
6.0625,-0.225204493212567,0.0859631738991774
6.08,-0.223909929435794,0.0994054829257963
6.0975,-0.221335537002116,0.112784747919055
6.115,-0.218394736074495,0.126694032075457
6.1325,-0.212655392507825,0.140795047484443
6.15,-0.205775302224508,0.152347269076846
6.1675,-0.19996889347248,0.162931843676836
6.185,-0.194653457122381,0.174462066101477
6.2025,-0.187936414532651,0.187543913270613
6.22,-0.1779774701334,0.200401195122835
6.2375,-0.166348960487203,0.210146337661541
6.255,-0.155976710065575,0.218266977122906
6.2725,-0.145864591261957,0.226342382769342
6.29,-0.136057906365736,0.234909081452913
6.3075,-0.124130527402128,0.244592105416655
6.325,-0.109938440200799,0.252443885503327
6.3425,-0.0944044266348673,0.258692002881787
6.36,-0.0783403731513586,0.260608456277556
6.3775,-0.067098014032211,0.261457226500889
6.395,-0.0552314827563478,0.266474202011489
6.4125,-0.0393172626969966,0.270118859712555
6.43,-0.0230192985551665,0.270090229043866
6.4475,-0.00899307065621783,0.268245570402856
6.465,0.00440652427615817,0.267669768785836
6.4825,0.0192784455856387,0.266005122980461
6.5,0.0334688169347054,0.263486636405988
6.5175,0.0496348310620139,0.259913775350494
6.535,0.0656795432991922,0.251825009494715
6.5525,0.0773712191248551,0.242405330739096
6.57,0.0880004436115904,0.235271562984472
6.5875,0.0997622151686483,0.228251483424847
6.605,0.113015326551225,0.220097286098186
6.6225,0.125882538643068,0.20757740205692
6.64,0.133781969430412,0.19399796937605
6.6575,0.140303028892874,0.183113081254326
6.675,0.147619896275175,0.173161164919189
6.6925,0.156741869736379,0.162383215345162
6.71,0.165246014853827,0.148358559020903
6.7275,0.171570285006092,0.133158572970239
6.745,0.175505991709845,0.1166836462687
6.7625,0.176127373189058,0.101503017889197
6.78,0.176544409795852,0.0887325666323089
6.7975,0.178364432265342,0.0759165695505611
6.815,0.179396500195619,0.0609435549998632
6.8325,0.177956046359557,0.0459229601495727
6.85,0.174986190977892,0.0316152160409874
6.8675,0.171389380983962,0.0187679918892466
6.885,0.167949906401863,0.00531309647576952
6.9025,0.162565362157284,-0.00769251472136018
6.92,0.157520735576951,-0.0202010327258151
6.9375,0.150700134313896,-0.0336215428018646
6.955,0.142241460500566,-0.0450487110774855
6.9725,0.1332152652504,-0.0557760594565988
6.99,0.122720268565978,-0.065548548786422
7.0075,0.112264401272724,-0.0727595829682591
7.025,0.10323281492886,-0.0809874084334676
7.0425,0.0904511289452222,-0.088743844244099
7.06,0.0792683800940219,-0.0919211246691834
7.0775,0.0706305216972321,-0.0971656650282555
7.095,0.0600464703060477,-0.103212933474119
7.1125,0.0485121219441339,-0.108778588427934
7.13,0.0351795807562505,-0.113846035189607
7.1475,0.0196365896671373,-0.116217681257721
7.165,0.0054530945858928,-0.113929179411977
7.1825,-0.00431343181307885,-0.111254354944091
7.2,-0.0131655526023512,-0.111649464262834
7.2175,-0.0248797094103441,-0.113139180068105
7.235,-0.0388790763244095,-0.112006149040165
7.2525,-0.0523380269888132,-0.10706094971059
7.27,-0.0615730848856158,-0.10035212261751
7.2875,-0.069000487844152,-0.0973474981614793
7.305,-0.0797515583901235,-0.095110102757451
7.3225,-0.0919002869902059,-0.0900166553186166
7.34,-0.102704353313785,-0.081791080762509
7.3575,-0.110210853721224,-0.0729527513082372
7.375,-0.116340843620135,-0.0660215302341326
7.3925,-0.123904835417409,-0.0606125195496223
7.41,-0.13272187996289,-0.0535640545677168
7.4275,-0.140817271017028,-0.0439229802378337
7.445,-0.145486404563904,-0.0331755276653081
7.4625,-0.148517776811268,-0.0252454804167478
7.48,-0.153156116904991,-0.018098775051114
7.4975,-0.158750405796468,-0.0102530947598065
7.515,-0.164389253402697,0.000326851575618789
7.5325,-0.166464949508218,0.0115173612248245
7.55,-0.16813189858984,0.0207309733966137
7.5675,-0.169804938156679,0.0302589293576073
7.585,-0.171159583756726,0.0394373940493763
7.6025,-0.172587114009736,0.0491994352687889
7.62,-0.173196910880827,0.059619029358796
7.6375,-0.172527999335596,0.0705109819669339
7.655,-0.169954274132672,0.0808187929626468
7.6725,-0.166810919135761,0.0890939165438262
7.69,-0.164996091943832,0.0966627742321602
7.7075,-0.163720706278688,0.105073766728582
7.725,-0.162053186693449,0.114945489183303
7.7425,-0.157845047034015,0.12529436803044
7.76,-0.152648876584011,0.133847061782573
7.7775,-0.146955436123475,0.142014257651005
7.795,-0.141054305453067,0.147827906744515
7.8125,-0.138328416432172,0.154467057078179
7.83,-0.132764226598024,0.165117917580131
7.8475,-0.123478097674967,0.172623536672705
7.865,-0.115104703416122,0.177258020228318
7.8825,-0.108850456955619,0.180548250340682
7.9,-0.104480393743017,0.186280060439729
7.9175,-0.0974482741065164,0.193800296375263
7.935,-0.0881640528487891,0.20019853555796
7.9525,-0.0775175613344035,0.204209791396395
7.97,-0.0682058706826506,0.205683434705411
7.9875,-0.0610337858796356,0.207406949260742
8.005,-0.0537217987730984,0.210920102059593
8.0225,-0.0444560395719963,0.214713847846101
8.04,-0.0329256086538569,0.216978958659756
8.0575,-0.021551711984325,0.215329645157127
8.075,-0.0136952600830794,0.212747383190281
8.0925,-0.00746855071813494,0.212154592571987
8.11,0.000341214069611111,0.214456553137258
8.1275,0.0127711380674547,0.214565899539494
8.145,0.0232222544219109,0.210095276052409
8.1625,0.0318883295868925,0.206193874655173
8.18,0.039697474253997,0.200977015211539
8.1975,0.0455639075881831,0.197620345191219
8.215,0.0541175390307723,0.195161044454569
8.2325,0.0635975713875329,0.189963882006672
8.25,0.0718118591095975,0.182489377500957
8.2675,0.077195347653122,0.174010290585193
8.285,0.080958110911197,0.167658612946677
8.3025,0.0863838384588252,0.16278580373133
8.32,0.0936485517652101,0.1557938370327
8.3375,0.0990006120767186,0.146034075203882
8.355,0.101784757701335,0.136901999226257
8.3725,0.10459377153992,0.128533753222812
8.39,0.106540818124987,0.119407509767229
8.4075,0.107421340418831,0.111412592412694
8.425,0.10948186110363,0.10343340687856
8.4425,0.110897722097399,0.0933785635117089
