"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.195763912288393,-0.161753174044726
3.0175,-0.197982970023113,-0.151433009526694
3.035,-0.211285430114577,-0.141001590868135
3.0525,-0.219717294528528,-0.121179692457154
3.07,-0.224486594261173,-0.103718850091774
3.0875,-0.225811082434216,-0.0846693340233111
3.105,-0.225785184687493,-0.0707289286146729
3.1225,-0.227948876782642,-0.0542921345999398
3.14,-0.227006831562317,-0.0375689069248418
3.1575,-0.224309175749542,-0.01957533826833
3.175,-0.216315809739947,-0.0050824385073757
3.1925,-0.211997938136567,0.003843620203697
3.21,-0.212727727734643,0.0170820273868935
3.2275,-0.207192715209898,0.036167607514907
3.245,-0.197205206763488,0.0488794735445647
3.2625,-0.190100800640122,0.0613616995844738
3.28,-0.182247418057695,0.0740360675484707
3.2975,-0.172126259398446,0.0917329072751073
3.315,-0.150797704858238,0.103217809119784
3.3325,-0.136252404735074,0.105241422276347
3.35,-0.12312073053753,0.110018612108248
3.3675,-0.113244143921088,0.111949571041012
3.385,-0.101766561970526,0.121486025965613
3.4025,-0.0832423351366052,0.122599214816757
3.42,-0.0738756304271445,0.122206824972361
3.4375,-0.0616005624320872,0.125753122964451
3.455,-0.0493804174620284,0.130057320222013
3.4725,-0.028470587989579,0.133984606785226
3.49,-0.00929794010272149,0.127375380728546
3.5075,0.0069713353895487,0.120853425266848
3.525,0.0204705355010739,0.109588754182772
3.5425,0.0295855268111429,0.102266348135134
3.56,0.0434412522082276,0.0943804674196442
3.5775,0.0539633440119105,0.0794387948472556
3.595,0.0556712033879724,0.0684228164595434
3.6125,0.062701216132613,0.0648760007905833
3.63,0.0744066791272797,0.055497419230455
3.6475,0.0837043866144567,0.0424739185721825
3.665,0.0883337237404196,0.0278458870272499
3.6825,0.0943514451528762,0.0192573564502759
3.7,0.106691407281931,0.00131759756495428
3.7175,0.107252276686053,-0.0218995076203002
3.735,0.103497960597726,-0.0421591716798986
3.7525,0.0912630758309017,-0.0571608817054919
3.77,0.08731231867763,-0.0608398552539587
3.7875,0.0894747598581248,-0.0749478671185199
3.805,0.0832946668200687,-0.0910097215802459
3.8225,0.0736167442710634,-0.103633506890711
3.84,0.0653161420533762,-0.108627139568784
3.8575,0.0675547434581956,-0.117948087080082
3.875,0.0629239431753063,-0.13890927927293
3.8925,0.0465026889770333,-0.1562591067973
3.91,0.0273713917662703,-0.165467854273277
3.9275,0.0118510576147426,-0.169124414044269
3.945,-1.64567696892002E-05,-0.173581799245373
3.9625,-0.0131458605340443,-0.180431001986447
3.98,-0.030502967055502,-0.18507372669805
3.9975,-0.0468021942035682,-0.183109394798147
4.015,-0.0548488048221807,-0.180785473730408
4.0325,-0.063720965110359,-0.189430130392456
4.05,-0.0868266840295466,-0.194358243877087
4.0675,-0.104284646569123,-0.185224648060049
4.085,-0.112292085581618,-0.182667006459608
4.1025,-0.127946767054241,-0.185235109475202
4.12,-0.148726288562759,-0.180267557989821
4.1375,-0.164857751803726,-0.167806333398431
4.155,-0.173019854349065,-0.156663570176412
4.1725,-0.182010176205562,-0.151300049098485
4.19,-0.193931802635005,-0.14429908343146
4.2075,-0.206301315413315,-0.137225463170789
4.225,-0.221550389083167,-0.124654122629547
4.2425,-0.22806401091638,-0.108656309003886
4.26,-0.23459199687887,-0.0993103919425502
4.2775,-0.243077995445481,-0.087223415242592
4.295,-0.252145936539024,-0.0746559307760934
4.3125,-0.257274860136881,-0.0554781754500176
4.33,-0.254862975764705,-0.0449565770893655
4.3475,-0.262205536105056,-0.035790991630722
4.365,-0.267288116393581,-0.0195263700320522
4.3825,-0.26874815646843,-0.00329961069199181
4.4,-0.267503105880727,0.0112957401616782
4.4175,-0.267817284733044,0.0246141528596563
4.435,-0.267119538181116,0.0405982193753901
4.4525,-0.262674268138435,0.0567978798199779
4.47,-0.255879334480239,0.0692730311936535
4.4875,-0.251095311103615,0.0809132060658658
4.505,-0.244165967407207,0.0915199589521633
4.5225,-0.240991043008815,0.100820754193054
4.54,-0.235307271195458,0.114104965287831
4.5575,-0.228695117228841,0.123686369571871
4.575,-0.222858966384366,0.13619749005568
4.5925,-0.214029942292067,0.146802673364228
4.61,-0.206249940039411,0.159219634577137
4.6275,-0.192515457031317,0.170414633904902
4.645,-0.180021688432872,0.178019386686599
4.6625,-0.164320222381147,0.184556168773165
4.68,-0.151313241907064,0.184201340447152
4.6975,-0.142886723572744,0.185157021204509
4.715,-0.137339063075839,0.187002261018153
4.7325,-0.131512773173118,0.196254936605432
4.75,-0.116866265161468,0.203991672856609
4.7675,-0.104345123791455,0.206159251764273
4.785,-0.092799229012277,0.209454585097592
4.8025,-0.0799741590521192,0.212494189009443
4.82,-0.0644875292422895,0.214500387761483
4.8375,-0.0476141671705009,0.21073874242225
4.855,-0.0364555966070797,0.202439330809508
4.8725,-0.0308249241241133,0.197604083871945
4.89,-0.0238668526151593,0.196937804625687
4.9075,-0.0139388536027405,0.19678693979514
4.925,-0.0018690493489066,0.193240748347167
4.9425,0.00560968901913012,0.187902744107452
4.96,0.0142986568952632,0.188079481620209
4.9775,0.0289333681860577,0.184765155940144
4.995,0.0421459382968626,0.175674802005487
5.0125,0.0502378239781308,0.163447512759735
5.03,0.0534018685652055,0.156131344785859
5.0475,0.0622886637953528,0.151321046734656
5.065,0.0707952826945996,0.140346943372011
5.0825,0.0747656931517459,0.129803214272224
5.1,0.0771042471376856,0.121025304201745
5.1175,0.0796243402491929,0.116018019036713
5.135,0.0875633917141779,0.111216618575838
5.1525,0.0971610206063382,0.100269932540416
5.17,0.101787726778388,0.0844803802649518
5.1875,0.0989635346874432,0.0714435842418456
5.205,0.0983069175395545,0.065920961448202
5.2225,0.103748417483425,0.0567800844375642
5.24,0.104943295657479,0.0422639960681276
5.2575,0.100582054806232,0.030330295068098
5.275,0.0971300253015632,0.0238815400449234
5.2925,0.0987272734805072,0.0162603069272887
5.31,0.0984374111878538,0.00369432070286511
5.3275,0.0934053098045827,-0.00744943346337303
5.345,0.0894699137144454,-0.0151179234694889
5.3625,0.0874318610414344,-0.0250438777980674
5.38,0.0823606066620566,-0.0368181180173153
5.3975,0.073813743277197,-0.04747585873598
5.415,0.0631820768207697,-0.0528783610987799
