"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.196196316919393,-0.165030703579326
3.0175,-0.204764758899113,-0.149250686769693
3.035,-0.209880699845577,-0.133119276914135
3.0525,-0.214152547668528,-0.120099188726154
3.07,-0.221593147396973,-0.105139700218774
3.0875,-0.224096703607216,-0.0869624726813111
3.105,-0.225723248980493,-0.0729166649796729
3.1225,-0.228551613903842,-0.0558018790739398
3.14,-0.227179181170817,-0.0385167918358418
3.1575,-0.224602400620542,-0.0225592248063299
3.175,-0.221594306715247,-0.0082154311413757
3.1925,-0.219254680659567,0.008828521051697
3.21,-0.210065482806143,0.0256666785818935
3.2275,-0.201828244913098,0.035922420079907
3.245,-0.196554254915488,0.0488422139275647
3.2625,-0.187415531535122,0.0618687439234738
3.28,-0.179641400762695,0.0737415158154707
3.2975,-0.166777178072446,0.0884325970740073
3.315,-0.151743090443238,0.0936364230117836
3.3325,-0.145241429394174,0.101364027335347
3.35,-0.13117769544653,0.114480304972648
3.3675,-0.113423443316088,0.120049142610942
3.385,-0.0980469577755257,0.123113670992813
3.4025,-0.0838631022166052,0.124046281346757
3.42,-0.0709893460211445,0.126409323793361
3.4375,-0.0555213208230872,0.126487223545651
3.455,-0.0435659533020284,0.125240191699313
3.4725,-0.029581222329579,0.126679830131226
3.49,-0.0130892179007215,0.124326932496546
3.5075,0.00227305296854871,0.119455518808848
3.525,0.0164148861630739,0.111803638937772
3.5425,0.0271564086971429,0.104993214361134
3.56,0.0423881836892276,0.0994292078996442
3.5775,0.0575300007579105,0.0839932623252556
3.595,0.0610031863079724,0.0682145367995434
3.6125,0.064087534789613,0.0623162360425833
3.63,0.0760520675202797,0.055288137060455
3.6475,0.0853963877962567,0.0391870629521825
3.665,0.0880716615695196,0.0259445076372499
3.6825,0.0942981412868762,0.0145034482002759
3.7,0.0999282284379312,-0.00156115438504572
3.7175,0.101572961898053,-0.0183402988433002
3.735,0.101143885909726,-0.0352938725031986
3.7525,0.0968654764729017,-0.0503833152034919
3.77,0.0947713376946299,-0.0638222371809587
3.7875,0.0883504864311248,-0.0802532540825199
3.805,0.0799156025610687,-0.0898079840212459
3.8225,0.0763626757510634,-0.099617537150711
3.84,0.0718112612903762,-0.112466648647784
3.8575,0.0651149640381956,-0.126360851071082
3.875,0.0544723079853063,-0.14001223530263
3.8925,0.0428119267870333,-0.1496849366883
3.91,0.0314862005262703,-0.162189469209277
3.9275,0.0130177371487426,-0.171264030831269
3.945,-0.0015995649926892,-0.173668551374373
3.9625,-0.0143556448040443,-0.177976904381447
3.98,-0.027013028763502,-0.18166173745505
3.9975,-0.0416466194485682,-0.186460268153147
4.015,-0.0572891004981807,-0.186816183898408
4.0325,-0.069908046684359,-0.186972132351456
4.05,-0.0830095369295466,-0.188539515537087
4.0675,-0.0987012460681226,-0.190263406237049
4.085,-0.117081354641618,-0.188626985410608
4.1025,-0.134228726427241,-0.182162475335202
4.12,-0.147915657217759,-0.174693528219821
4.1375,-0.161074604496726,-0.166875055302431
4.155,-0.171178001585065,-0.158426951067412
4.1725,-0.182428912407562,-0.153920385808485
4.19,-0.198053812847005,-0.14441508779046
4.2075,-0.206773941887315,-0.131001741389789
4.225,-0.214060970085167,-0.123442873356547
4.2425,-0.22580911630638,-0.114825270494886
4.26,-0.23677638920887,-0.10241697189155
4.2775,-0.246282962455481,-0.089214549265592
4.295,-0.255373499419024,-0.0723776097558935
4.3125,-0.256391536486881,-0.0546095911220176
4.33,-0.257297844768705,-0.0454489023713655
4.3475,-0.263959000665056,-0.032270834042722
4.365,-0.265376651833581,-0.0163105945670522
4.3825,-0.26611764607943,-0.00264916326399181
4.4,-0.265621559750727,0.0116530872286782
4.4175,-0.264278202202044,0.0241395591266563
4.435,-0.264115085165116,0.0362600421443901
4.4525,-0.265076450958435,0.0505939589959779
4.47,-0.262281435394239,0.0689506274636535
4.4875,-0.252909918902216,0.0838941451858658
4.505,-0.245603410199807,0.0931128577821633
4.5225,-0.240353629789515,0.104038682553054
4.54,-0.234188555530458,0.113588277181831
4.5575,-0.230755456075141,0.126378907532871
4.575,-0.218251949237566,0.14057133228168
4.5925,-0.208632080050067,0.143981796575228
4.61,-0.205384548623411,0.155716439865137
4.6275,-0.191388926803317,0.167738085974902
4.645,-0.180530676678872,0.171929290941599
4.6625,-0.172238108086147,0.180460326158165
4.68,-0.158790570477064,0.188805991274152
4.6975,-0.145137638412744,0.192336367304509
4.715,-0.133566500415839,0.194933064697153
4.7325,-0.123168802576118,0.196445123572432
4.75,-0.114612240961468,0.200089457965609
4.7675,-0.103582859457455,0.204718187070773
4.785,-0.092089408445277,0.208295254970892
4.8025,-0.0779694474311192,0.210942567940843
4.82,-0.0639667434822895,0.209738539967483
4.8375,-0.0517403594505009,0.20632747692125
4.855,-0.0433103102110797,0.202831204415508
4.8725,-0.0347977852211133,0.203088150398945
4.89,-0.0224196907061593,0.203351597643687
4.9075,-0.00831399618174051,0.19855059999614
4.925,9.04957909340139E-06,0.190955524660167
4.9425,0.00685803435443012,0.188206608087452
4.96,0.0165813853019632,0.185430879604209
4.9775,0.0273779815871577,0.182302779040144
4.995,0.0409103809168626,0.175484396949487
5.0125,0.0496833725051308,0.163543585089735
5.03,0.0536916874142055,0.155470897325859
5.0475,0.0603562370643528,0.149436120988656
5.065,0.0670498110075996,0.141996712326011
5.0825,0.0743842060737459,0.134306460408224
5.1,0.0806204484716856,0.123880685222745
5.1175,0.0839677675681929,0.114769166472713
5.135,0.0885908668621779,0.106750428517038
5.1525,0.0933311251773382,0.0980431067188158
5.17,0.0994696067053881,0.0877321094619518
5.1875,0.102051619226443,0.0736087699368456
5.205,0.100834627994554,0.062858097310402
5.2225,0.101168081978425,0.0534695695135642
5.24,0.101076063623479,0.0436118228716376
5.2575,0.100485060151232,0.034104921873098
5.275,0.100231809197563,0.0246472202069234
5.2925,0.0990213398895072,0.0140038575952887
5.31,0.0967149580048538,0.00434182692786511
5.3275,0.0945332669895827,-0.00573625625737303
5.345,0.0913991249684454,-0.0160071856064889
5.3625,0.0870906963224344,-0.0269281720010674
5.38,0.0807119986300566,-0.0368983279973153
5.3975,0.073524039076197,-0.04551964038898
5.415,0.0664226671097697,-0.0523068322797799
5.4325,0.0602814355375566,-0.0597834079611256
5.45,0.0516998027229112,-0.0666214441384465
5.4675,0.0450924684234184,-0.0706782492701215
5.485,0.0402752174809024,-0.0776374795426569
5.5025,0.0325699135581373,-0.0868315654630727
5.52,0.0203819225732837,-0.0942125071022703
5.5375,0.0092668144766005,-0.0965626130433017
5.555,0.000178967098456121,-0.100410153604856
5.5725,-0.0102177438504911,-0.103011519779936
5.59,-0.0194785706983677,-0.106935469360778
5.6075,-0.0335796814956019,-0.109863319871661
5.625,-0.046153946667742,-0.106404275143896
5.6425,-0.0530522787496086,-0.103831072183251
5.66,-0.0604311783628226,-0.106329725534048
5.6775,-0.0720841791847964,-0.108224601124808
5.695,-0.0843425716556867,-0.108166314308483
5.7125,-0.0979525032358132,-0.106239867707782
5.73,-0.110827110353,-0.101281137699091
5.7475,-0.121348280811565,-0.0945334405518344
5.765,-0.129177203504691,-0.0895427340132316
5.7825,-0.139980447001146,-0.0864627166993394
5.8,-0.152602894534322,-0.0791040224773716
5.8175,-0.162003945550006,-0.0690225099918683
5.835,-0.168175588264793,-0.0592768122626766
5.8525,-0.172743101814472,-0.0534141245662676
5.87,-0.183015936331807,-0.0490630743549935
5.8875,-0.194359577176814,-0.0379613113688878
5.905,-0.201157111337953,-0.0255927449757854
5.9225,-0.207125192790543,-0.0137569715003432
5.94,-0.211520227656736,-0.00137504685412643
5.9575,-0.21494332711922,0.00993801899532704
5.975,-0.219055329584146,0.0214530724254481
5.9925,-0.222029299879806,0.0346144061579522
6.01,-0.223254800219265,0.04701892799953
6.0275,-0.224678521049147,0.0595580086657622
6.045,-0.224527600665859,0.0723510399630283
6.0625,-0.224474938986567,0.0841715784601774
6.08,-0.224810793938794,0.0976684449447963
6.0975,-0.223290502246116,0.112965252384055
6.115,-0.218512240444495,0.127991559901457
6.1325,-0.212394351218825,0.140853243335443
6.15,-0.206202163510508,0.152894699534846
6.1675,-0.19916889005948,0.164255243893836
6.185,-0.192464597854381,0.174114072506477
6.2025,-0.187152788462651,0.185206216745513
6.22,-0.1793547906234,0.198284250419135
6.2375,-0.169077409130203,0.209718772036541
6.255,-0.158139334996575,0.220212424186906
6.2725,-0.145781123280957,0.228973451809342
6.29,-0.134882598235736,0.236544537030913
