"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.06621389804,-0.2439075671
1.01,-0.07556146403,-0.2414134017
1.02,-0.08485085053,-0.2385398417
1.03,-0.09406448084,-0.2352869267
1.04,-0.1031847496,-0.2316555929
1.05,-0.1121940664,-0.2276476695
1.06,-0.1210748984,-0.2232658746
1.07,-0.1298098134,-0.2185138082
1.08,-0.138381522,-0.2133959438
1.09,-0.146772919,-0.2079176183
1.1,-0.1549671246,-0.2020850204
1.11,-0.1629475249,-0.195905177
1.12,-0.1706978112,-0.1893859377
1.13,-0.178202019,-0.1825359583
1.14,-0.1854445659,-0.175364682
1.15,-0.1924102886,-0.1678823194
1.16,-0.1990844786,-0.1600998267
1.17,-0.2054529173,-0.152028883
1.18,-0.2115019097,-0.1436818647
1.19,-0.2172183165,-0.1350718205
1.2,-0.2225895859,-0.1262124429
1.21,-0.2276037831,-0.1171180401
1.22,-0.232249619,-0.1078035059
1.23,-0.2365164768,-0.09828428796
1.24,-0.2403944385,-0.08857635585
1.25,-0.2438743078,-0.07869616744
1.26,-0.2469476335,-0.06866063436
1.27,-0.2496067299,-0.05848708664
1.28,-0.2518446958,-0.04819323637
1.29,-0.2536554326,-0.03779714064
1.3,-0.2550336591,-0.02731716372
1.31,-0.2559749265,-0.01677193864
1.32,-0.2564756296,-0.006180328131
1.33,-0.256533018,0.004438614794
1.34,-0.2561452042,0.01506568678
1.35,-0.2553111703,0.02568157432
1.36,-0.2540307729,0.0362668942
1.37,-0.2523047464,0.0468022341
1.38,-0.2501347033,0.05726819325
1.39,-0.2475231345,0.06764542311
1.4,-0.2444734058,0.0779146679
1.41,-0.240989754,0.08805680497
1.42,-0.23707728,0.09805288493
1.43,-0.2327419414,0.1078841714
1.44,-0.2279905418,0.1175321804
1.45,-0.2228307195,0.126978719
1.46,-0.2172709338,0.1362059238
1.47,-0.2113204498,0.1451962983
1.48,-0.2049893213,0.1539327497
1.49,-0.1982883723,0.1623986252
1.5,-0.1912291769,0.1705777466
1.51,-0.183824037,0.178454445
1.52,-0.1760859595,0.1860135933
1.53,-0.1680286308,0.1932406386
1.54,-0.1596663912,0.2001216329
1.55,-0.1510142064,0.2066432627
1.56,-0.1420876394,0.212792877
1.57,-0.1329028196,0.2185585148
1.58,-0.1234764114,0.2239289298
1.59,-0.113825582,0.2288936153
1.6,-0.1039679672,0.233442826
1.61,-0.09392163724,0.2375675997
1.62,-0.08370506092,0.2412597757
1.63,-0.07333706931,0.2445120136
1.64,-0.06283681854,0.2473178087
1.65,-0.05222375191,0.2496715063
1.66,-0.0415175614,0.2515683147
1.67,-0.03073814863,0.2530043158
1.68,-0.01990558542,0.2539764741
1.69,-0.009040073851,0.2544826442
1.7,0.001838093788,0.2545215759
1.71,0.01270857541,0.2540929181
1.72,0.0235510196,0.2531972202
1.73,0.0343451061,0.2518359326
1.74,0.0450705863,0.2500114042
1.75,0.05570732357,0.2477268788
1.76,0.0662353334,0.24498649
1.77,0.07663482323,0.241795253
1.78,0.0868862319,0.2381590562
1.79,0.09697026868,0.2340846498
1.8,0.1068679517,0.229579633
1.81,0.1165606458,0.2246524399
1.82,0.1260300998,0.2193123232
1.83,0.1352584826,0.2135693363
1.84,0.1442284192,0.2074343141
1.85,0.1529230248,0.2009188517
1.86,0.1613259387,0.1940352822
1.87,0.1694213569,0.1867966521
1.88,0.1771940637,0.1792166965
1.89,0.1846294615,0.1713098116
1.9,0.1917136003,0.1630910269
1.91,0.1984332053,0.1545759756
1.92,0.2047757029,0.1457808635
1.93,0.2107292464,0.1367224377
1.94,0.2162827385,0.1274179534
1.95,0.2214258543,0.1178851399
1.96,0.2261490609,0.1081421655
1.97,0.2304436365,0.09820760213
1.98,0.2343016876,0.08810038843
1.99,0.2377161645,0.07783979246
2,0.2406808753,0.06744537376
2.01,0.2431904973,0.0569369448
2.02,0.2452405882,0.04633453187
2.03,0.2468275942,0.03565833568
2.04,0.2479488566,0.02492869149
2.05,0.2486026172,0.0141660291
2.06,0.2487880213,0.00339083262
2.07,0.2485051189,-0.007376399872
2.08,0.2477548645,-0.01811519664
2.09,0.2465391146,-0.02880515252
2.1,0.244860624,-0.03942596907
2.11,0.2427230393,-0.04995749436
2.12,0.240130892,-0.06037976253
2.13,0.2370895885,-0.07067303296
2.14,0.2336053992,-0.08081782889
2.15,0.2296854457,-0.09079497557
2.16,0.225337686,-0.1005856377
2.17,0.2205708987,-0.1101713562
2.18,0.2153946644,-0.1195340841
2.19,0.2098193473,-0.1286562221
2.2,0.2038560731,-0.1375206521
2.21,0.1975167076,-0.146110771
2.22,0.1908138319,-0.1544105225
2.23,0.1837607174,-0.1624044285
2.24,0.1763712993,-0.1700776185
2.25,0.1686601483,-0.1774158586
2.26,0.1606424414,-0.1844055787
2.27,0.1523339318,-0.1910338983
2.28,0.1437509169,-0.1972886515
2.29,0.1349102062,-0.2031584095
2.3,0.1258290874,-0.2086325027
2.31,0.1165252921,-0.2137010408
2.32,0.1070169606,-0.2183549309
2.33,0.09732260541,-0.2225858948
2.34,0.08746107497,-0.2263864839
2.35,0.07745151594,-0.2297500932
2.36,0.06731333534,-0.2326709731
2.37,0.05706616216,-0.235144239
2.38,0.04672980852,-0.2371658807
2.39,0.03632423062,-0.2387327683
2.4,0.02586948933,-0.2398426574
2.41,0.01538571072,-0.2404941926
2.42,0.004893046493,-0.2406869083
2.43,-0.005588365561,-0.2404212286
2.44,-0.01603844107,-0.2396984653
2.45,-0.02643718836,-0.2385208138
2.46,-0.03676474756,-0.2368913475
2.47,-0.04700142929,-0.2348140105
2.48,-0.05712775303,-0.2322936083
2.49,-0.06712448501,-0.2293357971
2.5,-0.07697267547,-0.2259470714
2.51,-0.08665369537,-0.22213475
2.52,-0.09614927241,-0.2179069597
2.53,-0.1054415262,-0.2132726189
2.54,-0.1145130027,-0.2082414177
2.55,-0.1233467075,-0.2028237987
