"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
3,-12.3762437438339,-2.72120146941886
3.0175,-12.4589664354849,-2.78330598062302
3.035,-12.5542833242258,-2.84596859624453
3.0525,-12.6626205318456,-2.90923906509038
3.07,-12.7844303414576,-2.97317336366893
3.0875,-12.9201932420728,-3.03783460712902
3.105,-13.0704196789594,-3.1032941301557
3.1225,-13.2356513377512,3.11355253135072
3.14,-13.4164617187087,3.04624286855214
3.1575,-13.6134556558122,2.97785738974087
3.175,-13.8272672907665,2.90827616150812
3.1925,-14.0585558065011,2.83736142896664
3.21,-14.3079979328805,2.76495437876457
3.2275,-14.5762758233287,2.69087124607581
3.245,-14.864058315442,2.61489865038603
3.2625,-15.1719727644499,2.53678804508267
3.28,-15.5005634885819,2.45624918602499
3.2975,-15.8502312850317,2.37294258332584
3.315,-16.2211463562129,2.28647103131549
3.3325,-16.6131242628104,2.19637056924554
3.35,-17.0254512811996,2.10210169901035
3.3675,-17.4566422745301,2.00304251238245
3.385,-17.9041122580526,1.89848674765426
3.4025,-18.3637453637049,1.78765191613304
3.42,-18.8293580301474,1.66970562212528
3.4375,-19.292087378798,1.54382171121059
3.455,-19.739804778192,1.40928043310297
3.4725,-20.1567680039167,1.26562470926382
3.49,-20.5238652328026,1.11287143400122
3.5075,-20.8198863354672,0.951746002273187
3.525,-21.0241126324223,0.78386283559014
3.5425,-21.1199866872109,0.611740685600052
3.56,-21.0988232691359,0.438566103752257
3.5775,-20.9620243514119,0.267725884473252
3.595,-20.7207084844399,0.102263399777424
3.6125,-20.3929444147593,-0.0555368268226853
3.63,-19.9999062891398,-0.20431385767747
3.6475,-19.5624264891926,-0.343559268503862
3.665,-19.0987673095211,-0.473411781175074
3.6825,-18.6236673499612,-0.594423330469004
3.7,-18.1482988691783,-0.707361042958077
3.7175,-17.6807088270437,-0.813066757002106
3.735,-17.2264275694141,-0.91237008250836
3.7525,-16.789066565425,-1.0060415676336
3.77,-16.3708280423224,-1.09477222428533
3.7875,-15.9729075942004,-1.17916872618443
3.805,-15.5957980150623,-1.25975704249481
3.8225,-15.239512030878,-1.33699002467392
3.84,-14.9037424746844,-1.41125636174683
3.8575,-14.587975945748,-1.48288951876536
3.875,-14.2915726496653,-1.55217598722097
3.8925,-14.0138219943942,-1.61936257987778
3.91,-13.7539809608905,-1.68466271841234
3.9275,-13.5113003059412,-1.74826176914242
3.945,-13.285042204348,-1.81032152808267
3.9625,-13.0744918877168,-1.87098396990624
3.98,-12.8789650868257,-1.93037437232426
3.9975,-12.6978125523474,-1.98860391692345
4.015,-12.5304225527129,-2.04577185445916
4.0325,-12.376221982743,-2.10196730944966
4.05,-12.2346765297457,-2.15727078680974
4.0675,-12.1052902119292,-2.2117554326407
4.085,-11.9876045108925,-2.26548809223975
4.1025,-11.8811972541496,-2.31853020080839
4.12,-11.7856813570771,-2.37093853605914
4.1375,-11.7007035006887,-2.42276585675627
4.155,-11.6259427982654,-2.47406144699996
4.1725,-11.561109487314,-2.52487158261443
4.19,-11.5059436716094,-2.57523993319178
4.2075,-11.4602141298138,-2.62520791105893
4.225,-11.4237172013582,-2.67481497657984
4.2425,-11.3962757562312,-2.72409890770208
4.26,-11.3777382525275,-2.77309604044202
4.2775,-11.3679778837276,-2.82184148602636
4.295,-11.3668918164352,-2.87036932962913
4.3125,-11.3744005185198,-2.91871281502967
4.33,-11.3904471771516,-2.96690451904475
4.3475,-11.4149972059853,-3.01497651923555
4.365,-11.4480378406667,-3.06296055814556
4.3825,-11.4895778218405,-3.11088820717541
4.4,-11.5396471648859,3.12439427403859
4.4175,-11.5982970156422,3.07648453659273
4.435,-11.6655995913681,3.02853580414115
4.4525,-11.741648206049,2.98051545060267
4.47,-11.826557378863,2.93239009776413
4.4875,-11.9204630240482,2.88412538562397
4.505,-12.0235227194864,2.83568571805924
4.5225,-12.1359160498648,2.78703397856491
4.54,-12.2578450181273,2.73813121000088
4.5575,-12.3895345157845,2.68893625127962
4.575,-12.5312328381848,2.63940532270095
4.5925,-12.6832122245338,2.58949155014548
4.61,-12.8457693936293,2.53914441652329
4.6275,-13.0192260340042,2.48830912667609
4.645,-13.2039291901706,2.43692586927968
4.6625,-13.4002514631487,2.38492895610816
4.68,-13.6085909110129,2.33224581521979
4.6975,-13.8293704903926,2.27879581012862
4.715,-14.0630368180536,2.22448885178176
4.7325,-14.3100579463605,2.16922376417032
4.75,-14.5709197286358,2.11288635777992
4.7675,-14.8461201878597,2.05534715816434
4.785,-15.1361610780007,1.9964587304255
